Fold,Accuracy,F1-score,Recall,Precision
Fold 1,0.7385,0.6274,0.7385,0.5453
Fold 2,0.8,0.7509,0.8,0.7543
Fold 3,0.7462,0.6377,0.7462,0.5567
Fold 4,0.7674,0.6838,0.7674,0.7143
Average,0.763,0.6749,0.763,0.6427
